2020-12-06 at 06:50:46 | SUCCESS | Requested url: https://zozo.jp/category/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/tops/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/jacket-outerwear/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/pants/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/allinone-salopette/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/skirt/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/onepiece/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/suit/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/bag/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/shoes/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/fashion-accessories/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/wallet-accessory/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/wrist-watch/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/hair-accessory/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/accessory/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/underwear/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/leg-wear/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/loungewear/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/hat/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/interior/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/tableware-kitchenware/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/zakka-hobby/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/computer-cell-phone-accessories-appliances/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/skin-care/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/base-makeup/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/makeup/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/beauty/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/body-care-hair-care/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/fragrance/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/swimwear-kimono-yukata/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/outdoors-sports/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/mom-baby/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/pet-supplies/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/music-books/
2020-12-06 at 06:50:46 | SUCCESS | find category url: https://zozo.jp/category/others/
2020-12-06 at 06:50:48 | SUCCESS | Requested url: https://zozo.jp/zozoused/category/
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/tops/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/jacket-outerwear/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/pants/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/allinone-salopette/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/skirt/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/onepiece/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/suit/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/bag/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/shoes/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/fashion-accessories/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/wallet-accessory/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/wrist-watch/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/hair-accessory/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/accessory/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/leg-wear/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/loungewear/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/hat/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/zakka-hobby/?p_gtype=2
2020-12-06 at 06:50:48 | SUCCESS | find category url: https://zozo.jp/category/others/?p_gtype=2
2020-12-06 at 06:50:48 | INFO | start crawler
2020-12-06 at 06:50:55 | INFO | start crawling category pages: https://zozo.jp/category/tops/
2020-12-06 at 06:50:56 | SUCCESS | find product url: https://zozo.jp/shop/greenlabel/goods-sale/52774975/?did=86551461
2020-12-06 at 06:50:56 | SUCCESS | find product url: https://zozo.jp/shop/classicalelf/goods-sale/52790968/?did=86642691
2020-12-06 at 06:50:56 | SUCCESS | find product url: https://zozo.jp/shop/tommyhilfiger/goods-sale/52775874/?did=86556868
2020-12-06 at 06:50:56 | SUCCESS | find product url: https://zozo.jp/shop/rectangle/goods/52753593/?did=86429967
2020-12-06 at 06:50:56 | SUCCESS | find product url: https://zozo.jp/shop/mono-mart/goods-sale/24730491/?did=45486402
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/americanholic/goods-sale/53052774/?did=88072925
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/kutir/goods/54116067/?did=89670470
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/freaksstore/goods/52841549/?did=86931791
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/bousiyaonspotz/goods-sale/48563030/?did=79238505
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/apresjour/goods/53011877/?did=87849980
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/shipsforwomen/goods-sale/53067183/?did=88167169
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/classicalelf/goods-sale/52638167/?did=85792990
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/greenlabel/goods-sale/52774981/?did=86551493
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/jeanasis/goods/53015578/?did=87872236
2020-12-06 at 06:50:57 | SUCCESS | find product url: https://zozo.jp/shop/mono-mart/goods-sale/47602355/?did=77932521
2020-12-06 at 06:50:58 | SUCCESS | find product url: https://zozo.jp/shop/moment/goods-sale/53090664/?did=88278110
2020-12-06 at 06:50:58 | SUCCESS | find product url: https://zozo.jp/shop/freaksstore/goods/52789711/?did=86633466
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_14_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_20_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_28_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_16_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_232_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_192_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_179_d_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_01_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:04 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_02_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_03_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_04_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_05_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_06_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_07_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_08_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_09_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_10_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_11_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_12_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_13_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_14_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_15_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:05 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_16_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_17_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_18_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_19_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_20_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_21_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_22_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_23_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_24_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_25_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_26_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_27_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_28_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_29_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:06 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_30_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:07 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_31_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:07 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_32_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
2020-12-06 at 06:51:07 | SUCCESS | url :https://c.imgz.jp/975/53774975/53774975_b_33_500.jpg | category: ZOZOTOWN/green/label/relaxing/トップス/ニット/セーター/ 
